Size        Rss         Pss         Clean       Dirty       Clean       Dirty       Swap        SwapPss     Counts      Category                         Name
232         16          0           0           16          0           0           0           0           4           .so                              /data/storage/el1/bundle/arkwebcore/libs/arm64/libadapter_ndk_stub.so
175172      9148        363         0           9148        0           0           0           0           5           .so                              /data/storage/el1/bundle/arkwebcore/libs/arm64/libarkweb_engine.so
2432        164         6           0           164         0           0           0           0           4           .so                              /data/storage/el1/bundle/arkwebcore/libs/arm64/libffmpeg.so
12          8           4           8           0           0           0           0           0           3           .hap                             /data/storage/el1/bundle/entry.hap
2048        60          0           0           60          0           0           0           0           1           dev                              /dev/__parameters__/param_sec_dac
80          0           0           0           0           0           0           0           0           1           dev                              /dev/__parameters__/param_selinux
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:ark_profile:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:ark_writeable_param:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:arkcompiler_param:s0
4           0           0           0           0           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:arkui_param:s0
4           0           0           0           0           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:const_i18n_param:s0
4           0           0           0           0           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:debug_param:s0
10240       92          2           0           92          0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:default_param:s0
128         4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:develop_private_param:s0
2048        0           0           0           0           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:devinfo_public_param:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:devinfo_type_param:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:hichecker_writable_param:s0
40          4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:hilog_param:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:hilog_private_param:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:hitrace_param:s0
40          4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:hiviewdfx_hiview_param:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:hook_param:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:i18n_param_tz_override:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:musl_param:s0
2048        0           0           0           0           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:ohos_boot_param:s0
2048        52          1           0           52          0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:persist_param:s0
2048        12          0           0           12          0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:persist_sys_param:s0
12          4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:samgr_writable_param:s0
3072        0           0           0           0           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:startup_appspawn_param:s0
2048        36          1           0           36          0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:startup_init_param:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:time_param:s0
4           0           0           0           0           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:versiontype_param:s0
4           4           0           0           4           0           0           0           0           1           dev                              /dev/__parameters__/u:object_r:web_private_param:s0
1016        8           8           0           0           8           0           0           0           1           dev                              /dev/binder
124         124         7           112         8           0           4           0           0           4           FilePage other                   /system/bin/appspawn
408         0           0           0           0           0           0           0           0           1           FilePage other                   /system/etc/abc/framework/stateMgmt.abc
280         48          0           48          0           0           0           0           0           1           FilePage other                   /system/etc/zoneinfo/tzdata
2092        1740        30          1696        32          0           12          0           0           4           .so                              /system/lib/ld-musl-aarch64.so.1
